SID	VSM	k	CV	SI
1	bin	2	59	0.39
2	af	2	99	0.92
3	af-ilf	2	100	0.94
4	emb(2,1)	2	50	0.34
5	emb(2,2)	2	31	0.25
6	emb(2,3)	2	19	0.45
7	emb(m/4,1)	2	60	0.16
8	emb(m/4,2)	2	27	0.15
9	emb(m/4,3)	2	83	0.16
10	emb(m/2,1)	2	60	0.08
11	emb(m/2,2)	2	27	0.12
12	emb(m/2,3)	2	83	0.14
13	emb(m,1)	2	81	0.12
14	emb(m,2)	2	1	0.12
15	emb(m,3)	2	10	0.11
16	bin	3	56	0.4
17	af	3	123	0.7
18	af-ilf	3	117	0.64
19	emb(2,1)	3	35	0.22
20	emb(2,2)	3	36	0.2
21	emb(2,3)	3	39	0.18
22	emb(m/4,1)	3	63	0.2
23	emb(m/4,2)	3	69	0.16
24	emb(m/4,3)	3	79	0.15
25	emb(m/2,1)	3	101	0.01
26	emb(m/2,2)	3	52	0.13
27	emb(m/2,3)	3	56	0.15
28	emb(m,1)	3	89	0.13
29	emb(m,2)	3	44	0.12
30	emb(m,3)	3	38	0.12
31	bin	4	83	0.44
32	af	4	103	0.43
33	af-ilf	4	146	0.59
34	emb(2,1)	4	36	0.23
35	emb(2,2)	4	43	0.15
36	emb(2,3)	4	26	0.16
37	emb(m/4,1)	4	92	0.23
38	emb(m/4,2)	4	61	0.21
39	emb(m/4,3)	4	47	0.2
40	emb(m/2,1)	4	62	0.04
41	emb(m/2,2)	4	62	0.12
42	emb(m/2,3)	4	64	0.14
43	emb(m,1)	4	99	0.11
44	emb(m,2)	4	28	0.1
45	emb(m,3)	4	44	0.1
46	bin	5	46	0.49
47	af	5	125	0.43
48	af-ilf	5	146	0.23
49	emb(2,1)	5	41	0.24
50	emb(2,2)	5	50	0.18
51	emb(2,3)	5	25	0.16
52	emb(m/4,1)	5	86	0.27
53	emb(m/4,2)	5	46	0.25
54	emb(m/4,3)	5	33	0.24
55	emb(m/2,1)	5	67	0.07
56	emb(m/2,2)	5	68	0.13
57	emb(m/2,3)	5	73	0.14
58	emb(m,1)	5	99	0.11
59	emb(m,2)	5	36	0.12
60	emb(m,3)	5	33	0.11
61	bin	6	59	0.54
62	af	6	144	0.43
63	af-ilf	6	166	0.23
64	emb(2,1)	6	56	0.22
65	emb(2,2)	6	48	0.18
66	emb(2,3)	6	44	0.16
67	emb(m/4,1)	6	57	0.32
68	emb(m/4,2)	6	67	0.3
69	emb(m/4,3)	6	57	0.28
70	emb(m/2,1)	6	66	0.08
71	emb(m/2,2)	6	67	0.12
72	emb(m/2,3)	6	71	0.13
73	emb(m,1)	6	71	0.12
74	emb(m,2)	6	42	0.12
75	emb(m,3)	6	41	0.12
76	bin	7	58	0.6
77	af	7	109	0.31
78	af-ilf	7	113	0.2
79	emb(2,1)	7	62	0.23
80	emb(2,2)	7	59	0.19
81	emb(2,3)	7	49	0.19
82	emb(m/4,1)	7	66	0.35
83	emb(m/4,2)	7	55	0.32
84	emb(m/4,3)	7	62	0.3
85	emb(m/2,1)	7	67	0.1
86	emb(m/2,2)	7	67	0.13
87	emb(m/2,3)	7	59	0.11
88	emb(m,1)	7	63	0.07
89	emb(m,2)	7	55	0.13
90	emb(m,3)	7	44	0.11
91	bin	8	72	0.63
92	af	8	122	0.31
93	af-ilf	8	125	0.2
94	emb(2,1)	8	42	0.24
95	emb(2,2)	8	61	0.19
96	emb(2,3)	8	42	0.19
97	emb(m/4,1)	8	74	0.37
98	emb(m/4,2)	8	45	0.34
99	emb(m/4,3)	8	54	0.32
100	emb(m/2,1)	8	67	0.12
101	emb(m/2,2)	8	67	0.09
102	emb(m/2,3)	8	57	0.11
103	emb(m,1)	8	51	0.08
104	emb(m,2)	8	59	0.09
105	emb(m,3)	8	52	0.11
106	bin	9	80	0.65
107	af	9	134	0.31
108	af-ilf	9	127	0.23
109	emb(2,1)	9	44	0.21
110	emb(2,2)	9	41	0.19
111	emb(2,3)	9	40	0.17
112	emb(m/4,1)	9	51	0.39
113	emb(m/4,2)	9	52	0.36
114	emb(m/4,3)	9	62	0.34
115	emb(m/2,1)	9	66	0.16
116	emb(m/2,2)	9	68	0.11
117	emb(m/2,3)	9	57	0.13
118	emb(m,1)	9	45	0.09
119	emb(m,2)	9	52	0.09
120	emb(m,3)	9	59	0.08
121	bin	10	86	0.67
122	af	10	145	0.31
123	af-ilf	10	38	0.23
124	emb(2,1)	10	55	0.21
125	emb(2,2)	10	42	0.2
126	emb(2,3)	10	49	0.18
127	emb(m/4,1)	10	63	0.42
128	emb(m/4,2)	10	55	0.37
129	emb(m/4,3)	10	60	0.34
130	emb(m/2,1)	10	63	0.14
131	emb(m/2,2)	10	67	0.12
132	emb(m/2,3)	10	51	0.13
133	emb(m,1)	10	34	0.09
134	emb(m,2)	10	45	0.1
135	emb(m,3)	10	69	0.09
