SID	VSM	k	CV	SI
1	bin	2	1	0.31
2	af	2	26	0.12
3	af-ilf	2	8	0.16
4	emb(2,1)	2	10	0.33
5	emb(2,2)	2	10	0.35
6	emb(2,3)	2	10	0.35
7	emb(m/4,1)	2	28	0.18
8	emb(m/4,2)	2	28	0.19
9	emb(m/4,3)	2	28	0.16
10	emb(m/2,1)	2	28	0.18
11	emb(m/2,2)	2	28	0.18
12	emb(m/2,3)	2	28	0.18
13	emb(m,1)	2	28	0.18
14	emb(m,2)	2	28	0.18
15	emb(m,3)	2	28	0.18
16	bin	3	35	0.25
17	af	3	28	0.14
18	af-ilf	3	59	0.18
19	emb(2,1)	3	28	0.35
20	emb(2,2)	3	28	0.36
21	emb(2,3)	3	28	0.36
22	emb(m/4,1)	3	11	0.24
23	emb(m/4,2)	3	11	0.25
24	emb(m/4,3)	3	11	0.21
25	emb(m/2,1)	3	11	0.24
26	emb(m/2,2)	3	11	0.24
27	emb(m/2,3)	3	11	0.24
28	emb(m,1)	3	11	0.24
29	emb(m,2)	3	11	0.24
30	emb(m,3)	3	11	0.24
31	bin	4	1	0.24
32	af	4	49	0.15
33	af-ilf	4	68	0.17
34	emb(2,1)	4	20	0.38
35	emb(2,2)	4	20	0.39
36	emb(2,3)	4	20	0.38
37	emb(m/4,1)	4	31	0.27
38	emb(m/4,2)	4	31	0.29
39	emb(m/4,3)	4	31	0.23
40	emb(m/2,1)	4	31	0.28
41	emb(m/2,2)	4	31	0.28
42	emb(m/2,3)	4	31	0.28
43	emb(m,1)	4	31	0.28
44	emb(m,2)	4	31	0.28
45	emb(m,3)	4	31	0.28
46	bin	5	32	0.22
47	af	5	52	0.14
48	af-ilf	5	73	0.17
49	emb(2,1)	5	45	0.39
50	emb(2,2)	5	46	0.4
51	emb(2,3)	5	48	0.39
52	emb(m/4,1)	5	54	0.28
53	emb(m/4,2)	5	54	0.3
54	emb(m/4,3)	5	54	0.25
55	emb(m/2,1)	5	54	0.29
56	emb(m/2,2)	5	54	0.3
57	emb(m/2,3)	5	21	0.21
58	emb(m,1)	5	54	0.29
59	emb(m,2)	5	54	0.29
60	emb(m,3)	5	54	0.3
61	bin	6	40	0.22
62	af	6	64	0.14
63	af-ilf	6	66	0.12
64	emb(2,1)	6	35	0.42
65	emb(2,2)	6	36	0.42
66	emb(2,3)	6	40	0.4
67	emb(m/4,1)	6	40	0.22
68	emb(m/4,2)	6	39	0.24
69	emb(m/4,3)	6	45	0.18
70	emb(m/2,1)	6	39	0.22
71	emb(m/2,2)	6	39	0.23
72	emb(m/2,3)	6	39	0.23
73	emb(m,1)	6	39	0.23
74	emb(m,2)	6	39	0.23
75	emb(m,3)	6	39	0.23
76	bin	7	39	0.19
77	af	7	56	0.12
78	af-ilf	7	47	0.09
79	emb(2,1)	7	34	0.47
80	emb(2,2)	7	48	0.42
81	emb(2,3)	7	49	0.41
82	emb(m/4,1)	7	57	0.22
83	emb(m/4,2)	7	56	0.25
84	emb(m/4,3)	7	41	0.14
85	emb(m/2,1)	7	26	0.19
86	emb(m/2,2)	7	26	0.2
87	emb(m/2,3)	7	26	0.2
88	emb(m,1)	7	26	0.19
89	emb(m,2)	7	26	0.2
90	emb(m,3)	7	26	0.2
91	bin	8	31	0.18
92	af	8	41	0.1
93	af-ilf	8	38	0.09
94	emb(2,1)	8	31	0.55
95	emb(2,2)	8	42	0.46
96	emb(2,3)	8	43	0.45
97	emb(m/4,1)	8	58	0.22
98	emb(m/4,2)	8	47	0.19
99	emb(m/4,3)	8	32	0.16
100	emb(m/2,1)	8	43	0.2
101	emb(m/2,2)	8	43	0.21
102	emb(m/2,3)	8	43	0.21
103	emb(m,1)	8	43	0.2
104	emb(m,2)	8	43	0.21
105	emb(m,3)	8	43	0.21
106	bin	9	32	0.18
107	af	9	50	0.11
108	af-ilf	9	30	0.09
109	emb(2,1)	9	36	0.55
110	emb(2,2)	9	36	0.54
111	emb(2,3)	9	37	0.53
112	emb(m/4,1)	9	44	0.17
113	emb(m/4,2)	9	49	0.17
114	emb(m/4,3)	9	44	0.16
115	emb(m/2,1)	9	44	0.17
116	emb(m/2,2)	9	44	0.19
117	emb(m/2,3)	9	44	0.19
118	emb(m,1)	9	44	0.18
119	emb(m,2)	9	44	0.19
120	emb(m,3)	9	44	0.19
121	bin	10	32	0.18
122	af	10	61	0.12
123	af-ilf	10	38	0.1
124	emb(2,1)	10	24	0.59
125	emb(2,2)	10	24	0.58
126	emb(2,3)	10	26	0.56
127	emb(m/4,1)	10	38	0.18
128	emb(m/4,2)	10	44	0.17
129	emb(m/4,3)	10	38	0.17
130	emb(m/2,1)	10	56	0.18
131	emb(m/2,2)	10	56	0.19
132	emb(m/2,3)	10	56	0.2
133	emb(m,1)	10	56	0.18
134	emb(m,2)	10	56	0.19
135	emb(m,3)	10	56	0.19
